Event ID,city,latitude,longitude
314,Sur district,38.064584,40.381766
315,Madurai,9.925201,78.119775
316,Madurai,9.923837,78.135776
317,Ramadi,33.420949,43.295662
318,Ramadi,33.420949,43.295662
319,Husaybah,34.154211,41.572378
320,Tikrit district,34.61872,43.656722
321,Arish,31.126646,33.800864
322,Adava,19.495566,84.178966
323,Fontainebleau,48.405407,2.701303
324,Veneux-les-Sablons,48.377975,2.795174
325,Calgary,51.038022,-114.060986
326,Unknown,32.416936,14.813014
327,Afgoye,2.14383,45.118061
328,Farwak Qala,37.025057,66.356849
329,Sperkai,33.564012,69.898946
330,Bak district,33.528559,70.058913
331,Abu Najim,30.582208,15.407966
332,Sadiyah,34.125728,45.003343
333,Baqubah,33.743239,44.623824
334,Hawr Rajab,33.19392,44.408578
335,Eringeti,0.853174,29.610719
336,Tacurong,6.689319,124.674114
337,San Isidro,9.648444,125.598609
338,Bashiqah,36.447493,43.351058
339,Jenin,32.460617,35.301248
340,Sungai Petani,5.642885,100.489173
341,Aleppo,36.201721,37.143521
342,Marseille,43.317193,5.390103
343,Derai,34.809957,72.357732
344,Jalalabad,34.41712,70.449594
345,Baghdad,33.303567,44.371771
346,Muqdadiyah,33.953165,44.921904
347,Muqdadiyah,33.953165,44.921904
348,Nahrawan,33.37576,44.702866
349,Baqubah,33.743239,44.623824
350,Baghdad,33.435667,44.534135
351,Barwana,34.092656,42.385467
352,Al-Asiri,33.897803,44.813111
353,Al-Asiri,33.897803,44.813111
354,Al-Asiri,33.897803,44.813111
355,Al-Asiri,33.897803,44.813111
356,Al-Asiri,33.897803,44.813111
357,Al-Asiri,33.897803,44.813111
358,Al-Asiri,33.897803,44.813111
359,Muqdadiyah,33.953165,44.921904
360,Muqdadiyah,33.953165,44.921904
361,Muqdadiyah,33.953165,44.921904
362,Muqdadiyah,33.953165,44.921904
363,Muqdadiyah,33.953165,44.921904
364,Muqdadiyah,33.953165,44.921904
365,Muqdadiyah,33.953165,44.921904
366,Muqdadiyah,33.953165,44.921904
367,Muqdadiyah,33.953165,44.921904
368,Muqdadiyah,33.953165,44.921904
369,Muqdadiyah,33.953165,44.921904
370,Muqdadiyah,33.953165,44.921904
371,Muqdadiyah,33.953165,44.921904
372,Muqdadiyah,33.953165,44.921904
373,Muqdadiyah,33.953165,44.921904
374,Muqdadiyah,33.953165,44.921904
375,Muqdadiyah,33.953165,44.921904
376,Muqdadiyah,33.953165,44.921904
377,Muqdadiyah,33.953165,44.921904
378,Muqdadiyah,33.953165,44.921904
379,Muqdadiyah,33.953165,44.921904
380,Muqdadiyah,33.953165,44.921904
381,Muqdadiyah,33.953165,44.921904
382,Muqdadiyah,33.953165,44.921904
383,Muqdadiyah,33.953165,44.921904
384,Muqdadiyah,33.953165,44.921904
385,Muqdadiyah,33.953165,44.921904
386,Muqdadiyah,33.953165,44.921904
387,Muqdadiyah,33.953165,44.921904
388,Muqdadiyah,33.953165,44.921904
389,Muqdadiyah,33.953165,44.921904
390,Muqdadiyah,33.953165,44.921904
391,Muqdadiyah,33.953165,44.921904
392,Muqdadiyah,33.953165,44.921904
393,Muqdadiyah,33.953165,44.921904
