Event ID,iyear,imonth,iday,approxdate
354,2016,1,11,
355,2016,1,11,
356,2016,1,11,
357,2016,1,11,
358,2016,1,11,
359,2016,1,11,
360,2016,1,11,
361,2016,1,11,
362,2016,1,11,
363,2016,1,11,
364,2016,1,11,
365,2016,1,11,
366,2016,1,11,
367,2016,1,11,
368,2016,1,11,
369,2016,1,11,
370,2016,1,11,
371,2016,1,11,
372,2016,1,11,
373,2016,1,11,
374,2016,1,11,
375,2016,1,11,
376,2016,1,11,
377,2016,1,11,
378,2016,1,11,
379,2016,1,11,
380,2016,1,11,
381,2016,1,11,
382,2016,1,11,
383,2016,1,11,
384,2016,1,11,
385,2016,1,11,
386,2016,1,11,
387,2016,1,11,
388,2016,1,11,
389,2016,1,11,
390,2016,1,11,
391,2016,1,11,
392,2016,1,11,
393,2016,1,11,
394,2016,1,11,
395,2016,1,11,11-Jan-16
396,2016,1,11,
397,2016,1,11,
398,2016,1,11,
399,2016,1,11,
400,2016,1,11,
401,2016,1,11,
402,2016,1,12,
403,2016,1,12,
404,2016,1,12,
405,2016,1,12,
406,2016,1,12,
407,2016,1,12,
408,2016,1,12,
409,2016,1,12,12-Jan-16
410,2016,1,12,
411,2016,1,12,
412,2016,1,12,
413,2016,1,12,
414,2016,1,12,
415,2016,1,12,
416,2016,1,12,
417,2016,1,12,12-Jan-16
418,2016,1,10,
419,2016,1,11,
420,2016,1,12,
421,2016,1,12,
422,2016,1,12,
423,2016,1,12,
424,2016,1,12,
425,2016,1,12,
426,2016,1,12,
427,2016,1,12,
428,2016,1,12,
429,2016,1,12,
430,2016,1,12,
431,2016,1,12,12-Jan-16
432,2016,1,12,
433,2016,1,12,
434,2016,1,12,
435,2016,1,12,
436,2016,1,13,
437,2016,1,13,
438,2016,1,13,
439,2016,1,13,
440,2016,1,13,
441,2016,1,14,
442,2016,1,13,
443,2016,1,13,
444,2016,1,13,
445,2016,1,13,
446,2016,1,13,
447,2016,1,13,
448,2016,1,13,
449,2016,1,13,
450,2016,1,13,
451,2016,1,13,13-Jan-16
452,2016,1,13,13-Jan-16
453,2016,1,13,13-Jan-16
454,2016,1,13,13-Jan-16
455,2016,1,13,13-Jan-16
456,2016,1,13,
457,2016,1,13,
458,2016,1,13,13-Jan-16
459,2016,1,13,
460,2016,1,13,
461,2016,1,13,
462,2016,1,13,
463,2016,1,13,
464,2016,1,13,
465,2016,1,13,
466,2016,1,13,
467,2016,1,13,
468,2016,1,13,
469,2016,1,13,
470,2016,1,13,
471,2016,1,13,
472,2016,1,13,
473,2016,1,13,
474,2016,1,14,
475,2016,1,14,
476,2016,1,14,
477,2016,1,14,
478,2016,1,14,
479,2016,1,14,
480,2016,1,13,
481,2016,1,13,
482,2016,1,14,
483,2016,1,14,
484,2016,1,14,
485,2016,1,14,
486,2016,1,14,
487,2016,1,14,
488,2016,1,14,14-Jan-16
489,2016,1,14,14-Jan-16
490,2016,1,14,14-Jan-16
491,2016,1,14,14-Jan-16
492,2016,1,14,
493,2016,1,14,
494,2016,1,14,
495,2016,1,13,
496,2016,1,14,
497,2016,1,14,14-Jan-16
498,2016,1,14,14-Jan-16
499,2016,1,14,14-Jan-16
500,2016,1,14,14-Jan-16
501,2016,1,14,
502,2016,1,14,
503,2016,1,14,
504,2016,1,14,
505,2016,1,14,
506,2016,1,14,
507,2016,1,14,
508,2016,1,14,
509,2016,1,14,
510,2016,1,14,
511,2016,1,14,
512,2016,1,14,
513,2016,1,14,
514,2016,1,15,
515,2016,1,15,
516,2016,1,15,
517,2016,1,15,
518,2016,1,15,
519,2016,1,15,
520,2016,1,15,
521,2016,1,15,
522,2016,1,15,
523,2016,1,15,
524,2016,1,15,15-Jan-16
525,2016,1,15,
526,2016,1,15,
527,2016,1,15,
528,2016,1,15,
529,2016,1,15,
530,2016,1,14,
531,2016,1,15,
532,2016,1,15,15-Jan-16
533,2016,1,15,
534,2016,1,15,
535,2016,1,15,15-Jan-16
536,2016,1,15,15-Jan-16
537,2016,1,15,15-Jan-16
538,2016,1,15,15-Jan-16
539,2016,1,15,15-Jan-16
540,2016,1,16,
541,2016,1,15,
542,2016,1,15,
543,2016,1,15,
544,2016,1,15,
545,2016,1,15,
546,2016,1,15,
547,2016,1,15,
548,2016,1,15,
549,2016,1,15,
550,2016,1,15,
551,2016,1,15,15-Jan-16
552,2016,1,15,
553,2016,1,15,
554,2016,1,15,
555,2016,1,15,
556,2016,1,15,"January 1-31, 2016"
557,2016,1,15,"January 1-31, 2016"
558,2016,1,15,"January 1-31, 2016"
559,2016,1,15,
560,2016,1,11,11-Jan-16
561,2016,1,15,"January 1-31, 2016"
562,2016,1,15,"January 1-31, 2016"
563,2016,1,16,
564,2016,1,16,
565,2016,1,16,
566,2016,1,16,
567,2016,1,16,
568,2016,1,16,
569,2016,1,16,
570,2016,1,16,
571,2016,1,16,
572,2016,1,16,
573,2016,1,16,
574,2016,1,16,
575,2016,1,16,
576,2016,1,16,
577,2016,1,16,
578,2016,1,16,
579,2016,1,15,
580,2016,1,16,16-Jan-16
581,2016,1,15,
582,2016,1,15,
583,2016,1,16,
584,2016,1,14,
585,2016,1,16,
586,2016,1,16,
587,2016,1,16,
588,2016,1,16,
589,2016,1,15,
590,2016,1,16,
591,2016,1,16,
592,2016,1,16,
593,2016,1,16,
594,2016,1,16,
595,2016,1,16,
596,2016,1,16,
597,2016,1,16,
598,2016,1,16,
599,2016,1,16,
600,2016,1,16,
601,2016,1,16,
602,2016,1,16,
603,2016,1,16,
604,2016,1,16,
605,2016,1,16,
606,2016,1,16,
